MATA1	MATA1
YAL003W	EFB1
YAL005C	SSA1
YAL012W	CYS3
YAL017W	PSK1
YAL018C	LDS1
YAL022C	FUN26
YAL023C	PMT2
YAL024C	LTE1
YAL026C	DRS2
YAL028W	FRT2
YAL029C	MYO4
YAL030W	SNC1
YAL031C	GIP4
YAL033W	POP5
YAL034C	FUN19
YAL037C-A	""
YAL037W	""
YAL038W	CDC19
YAL039C	CYC3
YAL040C	CLN3
YAL041W	CDC24
YAL042W	ERV46
YAL043C	PTA1
YAL044C	GCV3
YAL053W	FLC2
YAL054C	ACS1
YAL060W	BDH1
YAL061W	BDH2
YAR007C	RFA1
YAR008W	SEN34
YAR014C	BUD14
YAR015W	ADE1
YAR018C	KIN3
YBL005W	PDR3
YBL006C	LDB7
YBL007C	SLA1
YBL008W	HIR1
YBL008W-A	""
YBL015W	ACH1
YBL016W	FUS3
YBL017C	PEP1
YBL021C	HAP3
YBL022C	PIM1
YBL029C-A	""
YBL029W	""
YBL030C	PET9
YBL032W	HEK2
YBL033C	RIB1
YBL035C	POL12
YBL038W	MRPL16
YBL039C	URA7
YBL043W	ECM13
YBL044W	""
YBL045C	COR1
YBL046W	PSY4
YBL047C	EDE1
YBL058W	SHP1
YBL060W	YEL1
YBL061C	SKT5
YBL063W	KIP1
YBL064C	PRX1
YBL074C	AAR2
YBL075C	SSA3
YBL076C	ILS1
YBL079W	NUP170
YBL080C	PET112
YBL087C	RPL23A
YBL092W	RPL32
YBL093C	ROX3
YBL099W	ATP1
YBL102W	SFT2
YBL103C	RTG3
YBL104C	SEA4
YBL106C	SRO77
YBR008C	FLR1
YBR009C	HHF1
YBR010W	HHT1
YBR015C	MNN2
YBR016W	""
YBR017C	KAP104
YBR018C	GAL7
YBR019C	GAL10
YBR020W	GAL1
YBR023C	CHS3
YBR024W	SCO2
YBR025C	OLA1
YBR029C	CDS1
YBR030W	RKM3
YBR037C	SCO1
YBR038W	CHS2
YBR039W	ATP3
YBR040W	FIG1
YBR043C	QDR3
YBR044C	TCM62
YBR046C	ZTA1
YBR047W	FMP23
YBR048W	RPS11B
YBR049C	REB1
YBR053C	""
YBR054W	YRO2
YBR057C	MUM2
YBR060C	ORC2
YBR066C	NRG2
YBR067C	TIP1
YBR068C	BAP2
YBR069C	TAT1
YBR070C	ALG14
YBR071W	""
YBR072W	HSP26
YBR077C	SLM4
YBR078W	ECM33
YBR080C	SEC18
YBR082C	UBC4
YBR083W	TEC1
YBR085C-A	""
YBR086C	IST2
YBR087W	RFC5
YBR092C	PHO3
YBR093C	PHO5
YBR094W	PBY1
YBR095C	RXT2
YBR096W	""
YBR101C	FES1
YBR109C	CMD1
YBR110W	ALG1
YBR112C	CYC8
YBR114W	RAD16
YBR115C	LYS2
YBR117C	TKL2
YBR118W	TEF2
YBR129C	OPY1
YBR130C	SHE3
YBR131W	CCZ1
YBR132C	AGP2
YBR133C	HSL7
YBR135W	CKS1
YBR137W	""
YBR138C	""
YBR139W	ATG42
YBR143C	SUP45
YBR145W	ADH5
YBR147W	RTC2
YBR148W	YSW1
YBR150C	TBS1
YBR151W	APD1
YBR156C	SLI15
YBR157C	ICS2
YBR158W	AMN1
YBR159W	IFA38
YBR161W	CSH1
YBR162C	TOS1
YBR162W-A	YSY6
YBR163W	EXO5
YBR164C	ARL1
YBR165W	UBS1
YBR167C	POP7
YBR168W	PEX32
YBR169C	SSE2
YBR170C	NPL4
YBR171W	SEC66
YBR179C	FZO1
YBR180W	DTR1
YBR181C	RPS6B
YBR182C	SMP1
YBR182C-A	""
YBR183W	YPC1
YBR184W	""
YBR188C	NTC20
YBR189W	RPS9B
YBR207W	FTH1
YBR211C	AME1
YBR212W	NGR1
YBR222C	PCS60
YBR236C	ABD1
YBR237W	PRP5
YBR238C	""
YBR240C	THI2
YBR248C	HIS7
YBR249C	ARO4
YBR250W	SPO23
YBR255C-A	RCF3
YBR256C	RIB5
YBR257W	POP4
YBR281C	DUG2
YBR282W	MRPL27
YBR283C	SSH1
YBR284W	""
YBR296C	PHO89
YBR296C-A	TYC1
YBR297W	MAL33
YCL011C	GBP2
YCL027W	FUS1
YCL030C	HIS4
YCL031C	RRP7
YCL034W	LSB5
YCL035C	GRX1
YCL036W	GFD2
YCL037C	SRO9
YCL048W	SPS22
YCL049C	""
YCL050C	APA1
YCL054W	SPB1
YCL055W	KAR4
YCL056C	PEX34
YCL061C	MRC1
YCL063W	VAC17
YCL064C	CHA1
YCR005C	CIT2
YCR011C	ADP1
YCR012W	PGK1
YCR020C-A	MAK31
YCR021C	HSP30
YCR028C	FEN2
YCR032W	BPH1
YCR042C	TAF2
YCR053W	THR4
YCR057C	PWP2
YCR059C	YIH1
YCR061W	TVS1
YCR065W	HCM1
YCR067C	SED4
YCR068W	ATG15
YCR073C	SSK22
YCR073W-A	SOL2
YCR075C	ERS1
YCR075W-A	EGO2
YCR087C-A	""
YCR088W	ABP1
YCR090C	""
YCR091W	KIN82
YCR092C	MSH3
YCR093W	CDC39
YCR106W	RDS1
YDL003W	MCD1
YDL004W	ATP16
YDL005C	MED2
YDL006W	PTC1
YDL017W	CDC7
YDL018C	ERP3
YDL020C	RPN4
YDL030W	PRP9
YDL035C	GPR1
YDL045W-A	MRP10
YDL047W	SIT4
YDL048C	STP4
YDL049C	KNH1
YDL051W	LHP1
YDL052C	SLC1
YDL055C	PSA1
YDL056W	MBP1
YDL058W	USO1
YDL059C	RAD59
YDL060W	TSR1
YDL061C	RPS29B
YDL066W	IDP1
YDL067C	COX9
YDL080C	THI3
YDL084W	SUB2
